incident_key,occur_date,occur_time,boro,loc_of_occur_desc,precinct,jurisdiction_code,loc_classfctn_desc,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race
278799684,2023-12-10T00:00:00.000,20:09:00,BRONX,INSIDE,41,0,DWELLING,TRUE,(null),(null),(null),45-64,M,WHITE HISPANIC
278803917,2023-12-10T00:00:00.000,23:55:00,MANHATTAN,OUTSIDE,34,0,COMMERCIAL,FALSE,(null),(null),(null),25-44,M,WHITE HISPANIC
278784204,2023-12-09T00:00:00.000,21:45:00,BROOKLYN,OUTSIDE,70,0,STREET,FALSE,(null),(null),(null),25-44,M,WHITE
278721173,2023-12-08T00:00:00.000,00:55:00,BROOKLYN,OUTSIDE,88,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK
278677813,2023-12-07T00:00:00.000,19:46:00,QUEENS,OUTSIDE,113,0,STREET,FALSE,(null),(null),(null),18-24,M,WHITE HISPANIC
278666561,2023-12-07T00:00:00.000,16:01:00,BROOKLYN,OUTSIDE,69,0,STREET,FALSE,25-44,M,BLACK,25-44,M,WHITE HISPANIC
278677814,2023-12-07T00:00:00.000,22:17:00,BROOKLYN,INSIDE,63,0,DWELLING,FALSE,25-44,M,BLACK HISPANIC,25-44,M,BLACK
278581538,2023-12-06T00:00:00.000,01:55:00,MANHATTAN,OUTSIDE,33,0,COMMERCIAL,FALSE,25-44,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC
278627524,2023-12-06T00:00:00.000,17:55:00,MANHATTAN,INSIDE,19,0,COMMERCIAL,FALSE,25-44,M,ASIAN / PACIFIC ISLANDER,<18,M,BLACK
278627523,2023-12-06T00:00:00.000,16:24:00,MANHATTAN,INSIDE,34,0,COMMERCIAL,FALSE,25-44,M,BLACK,25-44,F,BLACK
278563881,2023-12-05T00:00:00.000,23:40:00,MANHATTAN,OUTSIDE,23,0,STREET,FALSE,18-24,M,BLACK,18-24,M,BLACK
278563881,2023-12-05T00:00:00.000,23:40:00,MANHATTAN,OUTSIDE,23,0,STREET,FALSE,18-24,M,BLACK,25-44,M,BLACK
278563372,2023-12-05T00:00:00.000,22:49:00,BROOKLYN,INSIDE,81,0,STREET,TRUE,(null),(null),(null),25-44,M,WHITE HISPANIC
278563371,2023-12-05T00:00:00.000,20:35:00,BROOKLYN,OUTSIDE,70,0,STREET,FALSE,18-24,M,BLACK,18-24,M,BLACK
278488355,2023-12-04T00:00:00.000,11:57:00,BROOKLYN,OUTSIDE,60,0,STREET,FALSE,25-44,M,BLACK,25-44,F,WHITE
278488356,2023-12-04T00:00:00.000,16:15:00,BRONX,OUTSIDE,48,0,STREET,FALSE,(null),(null),(null),18-24,M,WHITE HISPANIC
278426560,2023-12-03T00:00:00.000,03:55:00,QUEENS,OUTSIDE,106,0,STREET,FALSE,(null),(null),(null),18-24,M,BLACK
278433669,2023-12-03T00:00:00.000,12:35:00,BROOKLYN,OUTSIDE,76,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK
278426559,2023-12-03T00:00:00.000,04:00:00,QUEENS,OUTSIDE,110,0,STREET,FALSE,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC
278445172,2023-12-03T00:00:00.000,18:00:00,MANHATTAN,INSIDE,32,0,COMMERCIAL,TRUE,25-44,M,BLACK,25-44,M,BLACK
